Food Name,Ingredients,SuitableForDiabetic,Calories_(kcal),Carbohydrate_(g),Protein_(g),Fat_(g),Fiber_(g),Free_sugars_(g),Cholesterol_(mg),Sodium_(mg)
CHOCOLATE,['CHOCOLATE'],TRUE,104.4,12.9,0.6,5.5,,0.973529616,0,35.51198816
CHOCOLATE CREAM BISCUIT,['CHOCOLATE CREAM BISCUIT'],TRUE,53,8,1,2,,0.973529616,0,35.51198816
CHOCOLATE ICE CREAM,['CHOCOLATE ICE CREAM'],TRUE,154,14,2.6,10,,0.973529616,0,35.51198816
CHOCOLATE MARIE BISCUIT,['CHOCOLATE MARIE BISCUIT'],TRUE,15,2.8,0.3,0.4,,0.973529616,0,35.51198816
COCONUT MILK 1ST 2ND 3RD EXTRACTIONS,['COCONUT MILK 1ST 2ND 3RD EXTRACTIONS'],TRUE,15,1,0.2,1.4,,0.973529616,0,35.51198816
COCONUT MILK 1ST 2ND EXTRACTIONS,['COCONUT MILK 1ST 2ND EXTRACTIONS'],TRUE,20,1.3,0.2,1.9,,0.973529616,0,35.51198816
COCONUT MILK 1ST EXTRACTION,['COCONUT MILK 1ST EXTRACTION'],TRUE,30,1.5,0.3,2.7,,0.973529616,0,35.51198816
COCONUT SAMBAL,['COCONUT SAMBAL'],TRUE,157,6.4,2,13.7,,0.973529616,0,35.51198816
CREAM CRACKER BISCUIT,['CREAM CRACKER BISCUIT'],TRUE,37,6,0.9,1.2,,0.973529616,0,35.51198816
CUCUMBER FLESH,['CUCUMBER FLESH'],TRUE,6,1.5,0.3,0.05,,0.973529616,0,35.51198816
CUCUMBER SALAD,['CUCUMBER SALAD'],TRUE,35,7,1,0,2.3,2.729802191,0,3.799566
CUSTARD CREAM BISCUIT,['CUSTARD CREAM BISCUIT'],TRUE,54,9,0.6,2,,0.973529616,0,35.51198816
DAN,['DAN'],TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
DARK CHOCOLATE,['DARK CHOCOLATE'],TRUE,282,29,3,18,,0.973529616,8.638186646,35.51198816
DHAL CURRY,['DHAL CURRY'],TRUE,100,14,7,2,,0.973529616,0,35.51198816
DHAL CURRY WITH COCONUT MILK,['DHAL CURRY WITH COCONUT MILK'],TRUE,80,12,5,3.5,,0.973529616,0,35.51198816
"DRINKING YOGHURT, FLAVORED OR SWEETENED","['DRINKING YOGHURT, FLAVORED OR SWEETENED']",TRUE,232.6,22.68,2.14,2.9,0,4.506817279,0,20
EGG,['EGG'],TRUE,70,0.4,6,5,,0.973529616,0,35.51198816
EGG YOLK,['EGG YOLK'],TRUE,52,0.55,2.5,4.2,,0.973529616,0,35.51198816
FRIED GRAMS SNACK,['FRIED GRAMS SNACK'],TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
FRIED HALMESSO,['FRIED HALMESSO'],TRUE,75,0,7.5,4.5,,0.973529616,0,35.51198816
FRIED KARAWALA,['FRIED KARAWALA'],TRUE,85,0,9,5,,0.973529616,0,35.51198816
GELATIN,['GELATIN'],TRUE,290.1459459,20.97941667,4.363083333,5.174083333,,1.72575162,17.62763952,594.6611403
GINGER FINGER BISCUIT,['GINGER FINGER BISCUIT'],TRUE,18,2.8,0.2,0.5,,0.973529616,0,35.51198816
GOLD MARIE BISCUIT,['GOLD MARIE BISCUIT'],TRUE,17,2.8,0.29,0.4,,0.973529616,0,35.51198816
GREEK YOGURT,['GREEK YOGURT'],TRUE,100,4,10,5,,0.973529616,0,35.51198816
GUAVA,['GUAVA'],TRUE,37,9.2,1,0.2,,0.973529616,0,35.51198816
HAWAIIAN COOKIE,['HAWAIIAN COOKIE'],TRUE,25.6,3.5,0.32,1.1,,0.973529616,0,35.51198816
HOPPERS,['HOPPERS'],TRUE,120,20,3,4,1.8,3.657757274,0,3.07355114
