Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"DUCK MEAT, TEMPERED",,,,,,,R,,16.1701889,9.711867332,1.025843978,0.493714005,0.430258006,68.1306076,48.67466736,25.49134636,3.80975008,2.469974995,0.14779675,0.115041949,1.835130215,0.183749452,0.35206926,18.30509949,1.239903927,8.246124268,0.614090025,,,0.651748002,203.0231018,262.3365173,69.11043549,19.85900497,,,,,0.232092991
"EEL, DRIED, TEMPERED, W/ COCONUT MILK",,,,,,,R,,23.905003,15.66808,3.815783,1.302888,0.164983,16.3262,35.296715,46.373482,1.556162,0.62422997,0.017281421,0.02976365,1.6917932,0.14806268,0.80237001,77.628197,2.6804285,12.205353,0.031093,,,0.385144,71.970436,406.82892,4341.2251,59.420086,,,,,
EGG,47.0,0.4,6.0,5.0,,,S,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGG DOSA,,,,,,,R,,11.6,8.5,10.8,0.395,10.2,175.8,21.498501,38.1,2.26,1.18,0.09,0.12,1.4,0.07,0.12860499,41.353413,0.0,97.0,0.8,3.2,0.3,,,,,,,,,,
EGG HOPPERS,,,,,,,R,,9.9,5.2,37.2,1.31,36.0,183.8,40.0,20.2,1.9,1.23,0.07,0.12,1.5,0.12,0.060755,46.6171,0.0,101.0,0.8,2.6,0.2,,,,,,,,,,
EGG KOTTU,,,,,,,R,,5.7,7.1,22.9,1.9,22.0,51.2,66.0,19.8,1.65,0.55,0.07,0.06,1.5,0.06,0.10591,18.3,2.5,170.0,0.4,3.0,0.2,,,,,,,,,,
EGG ROTI,,,,,Breakfast,Yes,S,793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGG YOLK,16.0,0.55,2.5,4.2,,,S,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EGG, POULTRY, WHOLE, BOILED",,,,,,,R,,13.4,10.5,0.0,0,0.0,365.0,55.0,13.8,1.87,1.31,0.0,0.0,0.0,0.0,0.75650001,0.0,0.0,182.0,1.3,7.3,0.6,,,,,,,,,,
"EGG, WHITE ONLY, BOILED",,,,,,,R,,12.4,0.3,0.0,0,0.0,0.0,8.0,11.6,0.15,0.09,0.02,0.18,0.0,0.0,0.076499999,4.2,0.0,0.0,0.0,0.0,0.0,0.18,23.0,147.0,144.0,14.86,0.0,0.0,0.0,0.0,0.0
"EGG, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,6.1,12.2,2.6,0,1.2,144.1,34.0,13.5,1.32,0.6,0.03,0.08,0.2,0.07,0.41462401,10.7,2.6,127.0,0.6,3.6,0.3,,,,,,,,,,
"EGG, WHOLE,OMELET",,,,,,,R,,16.5,14.8,0.0,0,0.0,316.0,53.0,14.8,2.16,1.31,0.11,0.2,0.3,0.14,0.71943152,37.7,0.0,183.0,1.9,14.2,0.4,,,,,,,,,,
"EGG, WHOLE,PAN-FRIED",,,,,,,R,,13.6,13.9,0.0,0,0.0,385.0,65.0,14.0,2.2,1.5,0.07,0.31,4.1,0.14,0.733805,40.0,0.0,190.0,1.1,5.6,0.6,,,,,,,,,,
"EGG, YOLK ONLY, BOILED",,,,,,,R,,16.1,27.5,0.0,0,0.0,1085.0,120.0,15.5,4.92,3.59,0.17,0.15,0.4,0.27,1.6575,110.0,0.0,467.0,2.8,8.9,0.7,2.57,586.0,106.0,44.83,38.57,456.0,8.819,10.643,3.333,0.0
EGGPLANT CURRY,,,,,Dessert,Yes,S,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGGPLANT CURRY,,,,,Side Dish,No,S,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMPEROR FISH (VILAI), FRESH, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,13.454135,16.592911,4.4370327,1.36043,0.53485501,10.5894,24.921059,26.335045,1.6259401,0.60961801,0.074878201,0.02238285,1.8911945,0.065775879,0.96671999,13.568394,2.5915806,16.195127,0.062613003,,,0.20075199,144.96979,325.01309,17.641636,7.363915,,,,,
"EMPEROR FISH (VILAI), FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,12.890135,10.76451,4.1620331,1.36043,0.53485501,10.1898,23.988058,25.712645,1.5403399,0.56761801,0.071868204,0.021982851,1.8015144,0.063090876,0.93023998,12.779354,2.4795806,16.195127,0.062613003,,,0.194952,139.98979,315.6731,17.031036,7.1169152,,,,,
"EMPEROR FISH (VILAI), FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,13.454135,16.592911,4.4370327,1.36043,0.53485501,10.5894,24.921059,26.335045,1.6259401,0.60961801,0.074878201,0.02238285,1.8911945,0.065775879,0.96671999,13.568394,2.5915806,16.195127,0.062613003,,,0.20075199,144.96979,325.01309,17.641636,7.363915,,,,,
ENERGY DRINK,,,,,,,S,,0.0,0.0,7.2,0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
FALOODA,,,,,Snack,Yes,S,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH & CHILI SAMBOL,,,,,,,R,,17.446064,1.1568199,2.5985579,1.515871,0.104085,19.716984,33.540745,38.711708,1.1601419,0.56714702,0.099997997,0.055217002,1.023046,0.51063299,0.82811111,55.54269,74.366745,30.659071,0.143177,,,0.61326998,71.491386,324.80319,2022.6422,159.53166,,509.53595,199.75069,290.62781,0.829961
FISH AMBUL THIYAL,,,,,Dinner,Yes,S,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH GRAVY,,,,,,,R,,13.4,6.6,31.4,7.3,23.6,0.0,91.0,100.6,4.11,1.54,0.13,0.08,1.0,0.1,0.0,55.7,0.9,143.0,0.2,2.0,0.4,,,,,,,,,,
"FISH GRAVY, W/ COCONUT MILK",,,,,,,R,,0.7,7.2,22.7,0.7,0.0,0.0,7.0,13.1,0.54,0.22,0.01,0.0,0.2,0.01,0.0,4.8,0.6,0.0,0.0,0.0,0.0,,,,,,,,,,
FISH PATTIES,,,,,Main Dish,Yes,S,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH ROLL,,,,,Side Dish,Yes,S,662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FISH, LARGE, NFS, DRIED, FRIED",,,,,,,R,,52.577297,17.534277,0.0,0,0.0,62.001942,67.832298,74.970886,2.5863459,1.1165479,0.0,0.082306184,2.4764805,1.165217,3.0501797,148.35886,0.0,0.0,0.0,,,1.1903454,152.86288,681.7063,7974.6201,494.00455,,,,,
"FISH, LARGE, NFS, DRIED, TEMPERED",,,,,,,R,,30.537756,12.832444,5.604393,2.7949731,1.498841,34.350502,63.095188,59.649288,2.2387381,0.83241224,0.03003828,0.072578922,1.6467552,0.73189765,2.1405015,95.499016,10.24964,35.901924,0.087095,,,0.88087463,113.69498,558.95526,4423.0127,274.73062,,,,,
"FISH, LARGE, NFS, DRIED, W/ COCONUT MILK",,,,,,,R,,19.145929,10.667101,4.0925612,1.266714,0.50873798,20.8241,41.388454,33.312492,1.8269626,0.7429378,0.02070226,0.044920225,1.2131261,0.43472278,1.2976235,59.405399,2.9839594,15.012181,0.034991998,,,0.48662186,64.048752,293.939,2679.7939,166.65495,,,,,
"FISH, LARGE, NFS, FRESH, COOK METHOD NFS",,,,,,,R,,14.35137,9.9684992,3.6170714,1.4971792,0.79156917,18.752428,68.990486,27.580935,2.106704,0.73527545,0.042562764,0.1123986,1.546549,4.4123721,1.0224812,94.851692,4.7859273,20.999569,0.045799401,,,0.65813547,151.4315,286.28543,34.025028,19.761065,,,,,
"FISH, LARGE, NFS, FRESH, FRIED",,,,,,,R,,21.396095,14.757527,0.0,0,0.0,30.281372,85.732971,28.66321,2.2636003,0.82559711,0.033598665,0.15248971,2.1414886,7.0473275,1.3035001,139.09146,0.0,0.0,0.0,,,0.86756939,219.11186,315.64545,50.962292,30.817284,,,,,
"FISH, LARGE, NFS, FRESH, TEMPERED",,,,,,,R,,13.794909,9.8448734,6.8315539,3.0341311,2.245712,17.095211,75.218613,35.712688,2.2318375,0.71883714,0.059641216,0.11820052,1.4893872,4.0875039,0.93212098,94.115349,12.555714,43.757439,0.094162002,,,0.80357337,156.96346,381.15012,35.033916,18.394152,,,,,
"FISH, LARGE, NFS, FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,10.428298,13.543042,4.3735299,1.41794,0.71955997,12.632838,53.758873,21.672998,2.099596,0.71290314,0.035795171,0.081216581,1.3325599,2.9891381,0.54379648,68.27877,5.1112847,24.780399,0.047375999,,,0.4633182,106.13821,219.18484,23.93808,13.525653,,,,,
"FISH, NFS, DRIED",,,,,,,S,,53.93037513,5.949571275,,,,135.8248446,139.4998178,138.6628832,2.992722401,3.210450161,,0.192143623,4.546795284,1.030825295,3.239871383,337.4825295,,,,,,0.842250804,355.7138264,729.2132905,10537.76635,427.6538049,,2185.090032,979.56806,1279.848875,
"FISH, NFS, DRIED, COOK METHOD NFS",,,,,,,R,,31.003939,14.891319,2.0462806,0.63335699,0.25436899,76.211319,87.733887,81.870049,2.163094,1.9869241,0.01035113,0.11645014,2.7626858,0.54224175,1.3634188,175.21396,1.4919797,7.5060906,0.017495999,,,0.51600194,205.94499,441.65143,5913.4512,240.32532,,,,,
"FISH, NFS, DRIED, FRIED",,,,,,,R,,44.762211,18.658144,0.0,0,0.0,112.73462,116.01985,115.09019,2.4910097,2.6670237,0.0,0.1594792,3.7738402,0.7700265,2.01682,252.09946,0.0,0.0,0.0,,,0.69906819,295.24246,605.24701,8746.3457,354.95267,,,,,
"FISH, NFS, DRIED, W/ COCONUT MILK",,,,,,,R,,17.245665,11.124495,4.0925612,1.266714,0.50873798,39.688019,59.446934,48.64991,1.8351485,1.3068146,0.02070226,0.073421068,1.6851029,0.314457,0.89935589,98.328438,2.9839594,15.012181,0.034991998,,,0.33293569,116.64748,278.05582,3080.5566,125.698,,,,,
"FISH, NFS, FRESH, BOILED",,,,,,,R,,14.497057,2.0904799,3.9197609,1.854828,0.47996199,20.431255,72.161377,32.814896,1.9119283,0.70633173,0.04034001,0.11464965,1.3441415,3.5976577,1.0762171,79.824036,2.9348452,20.207815,0.051893998,,,0.67519623,154.63094,293.29099,39.632931,29.914207,,,,,
"FISH, NFS, FRESH, COOK METHOD NFS",,,,,,,R,,14.076381,10.553845,3.6170714,1.4971792,0.79156917,19.411118,66.940788,28.635679,1.9156289,0.76271534,0.037576869,0.10386311,1.3352865,3.4283061,1.0224812,78.196678,4.6611028,20.997522,0.045799401,,,0.66209799,144.67262,268.51447,37.842098,28.133467,,,,,
"FISH, NFS, FRESH, FRIED",,,,,,,R,,20.952044,15.702744,0.0,0,0.0,31.345022,82.596024,30.580004,1.9607064,0.87372363,0.027191028,0.13900486,1.7848685,5.4594336,1.3035001,113.303,0.0,0.0,0.0,,,0.87396806,209.34239,292.66339,57.196217,44.337017,,,,,
"FISH, NFS, FRESH, TEMPERED",,,,,,,R,,13.544222,10.378491,6.8315539,3.0341311,2.245712,17.69569,73.447662,36.794804,2.0608399,0.74600673,0.055811025,0.11058771,1.2981253,3.1910653,0.93212098,79.556587,12.555714,43.757439,0.094162002,,,0.80718565,151.44815,368.17569,38.553249,26.026655,,,,,
"FISH, NFS, FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,10.243048,13.937369,4.3735299,1.41794,0.71955997,13.076573,52.450195,22.472651,1.9732341,0.73298061,0.033122022,0.075590946,1.1837845,2.3266976,0.54379648,57.52029,5.1112847,24.780399,0.047375999,,,0.46598759,102.06256,209.59715,26.538761,19.16584,,,,,
"FISH, NFS, FRESH, W/ COCONUT MILK",,,,,,,R,,11.182292,10.650544,4.0925612,1.266714,0.50873798,14.504197,56.77264,22.282814,1.8639909,0.77169794,0.03402441,0.081598029,1.20757,2.5695992,0.764009,62.005676,2.9839594,15.012181,0.034991998,,,0.49123883,109.57634,200.40305,27.887581,21.253506,,,,,
"FISH, SMALL, NFS, DRIED, MALLUM, TEMPERED, W/ SCRAPED COCONUT",,,,,,,R,,28.352234,10.644944,4.206244,3.3039961,1.843758,87.000969,105.93135,104.7774,2.4963915,2.4764211,0.01634015,0.14545205,2.8762627,0.46290064,1.2964573,202.80351,4.4428282,14.465297,0.1451,,,0.59433556,265.27957,542.24261,5890.811,198.45255,,,,,
"FISH, SMALL, NFS, FRESH, BOILED",,,,,,,R,,13.637585,3.9199686,3.9197609,1.854828,0.47996199,22.489975,66.089745,36.524895,1.3256698,0.79948163,0.027208339,0.08854939,0.68840724,0.52425116,1.0694056,29.909868,2.9348452,20.207815,0.051893998,,,0.68758094,135.72189,248.80865,51.698841,56.08197,,,,,
"FISH, SMALL, NFS, FRESH, COOK METHOD NFS",,,,,,,R,,14.614378,11.459613,2.6722817,1.0415961,0.330174,24.318659,63.900482,32.500957,1.2764018,0.88380659,0.01986303,0.083587632,0.70444006,0.55179781,1.1563599,30.877748,1.9008124,11.669244,0.028995,,,0.69357729,137.10454,212.39462,54.604618,60.129627,,,,,
"FISH, SMALL, NFS, FRESH, FRIED",,,,,,,R,,19.633469,18.509491,0.0,0,0.0,34.503448,73.281105,36.27177,1.0612862,1.0166315,0.008164043,0.098962627,0.72591281,0.74430507,1.2952501,36.726173,0.0,0.0,0.0,,,0.8929683,180.33273,224.41994,75.707382,84.482819,,,,,
"FISH, SMALL, NFS, FRESH, W/ COCONUT MILK",,,,,,,R,,10.572151,11.949303,4.0925612,1.266714,0.50873798,15.965687,52.462372,24.91655,1.4478047,0.8378253,0.024702204,0.063069403,0.74206269,0.38778085,0.75917351,26.571491,2.9839594,15.012181,0.034991998,,,0.50003082,96.152771,168.82492,36.453205,39.830059,,,,,
FLATTENED RICE W/ SCRAPED COCONUT & SUGAR,,,,,,,R,,5.535181522,7.126628876,60.58890152,3.809961319,45.79607773,0.0,20.041605,72.1963501,4.011531353,0.936582327,0.079915218,0.030653628,1.183939815,0.097779967,,6.86886549,0.0,12.37098503,0.150480524,,,0.378786981,148.8360596,135.1177063,6.552560806,3.828617096,,,,,0.195007101
FRIED GRAMS SNACK,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIED HALMESSO,15.0,0.0,7.5,4.5,,,S,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIED KARAWALA,15.0,0.0,9.0,5.0,,,S,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIED RICE,,,,,Breakfast,Yes,S,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIED RICE W/ CHICKEN & VEGETABLES,,,,,,,R,,5.1048002,2.9045939,17.004156,1.2010729,15.924093,8.1414986,10.371678,12.224802,0.62202799,0.47571999,0.01511595,0.0155615,0.82583565,0.11089885,0.027249301,6.9697108,1.4706353,71.523628,0.108723,,,0.26022199,60.286514,109.38325,7.0641341,4.5145469,,170.85565,127.92419,175.98769,0.475858
FRIED RICE W/ VEGETABLES,,,,,,,R,,2.5,2.2,21.8,0.427,0.2,0.0,9.0,4.9,0.22,0.06,0.17,0.29,0.0,0.01,0.031453717,6.4,1.6,61.0,0.0,0.4,0.0,,,,,,,,,,
FRIED RICE W/ VEGETABLES & EGG,,,,,,,R,,3.0,2.7,15.8,0.4,0.2,30.4,13.0,5.8,0.37,0.16,0.13,0.22,0.1,0.02,0.063016452,8.0,1.6,75.0,0.2,1.2,0.1,,,,,,,,,,
FRUIT & NUT ICE CREAM,,34.0,3.9,9.0,,,S,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUIT AND MILK DRINK,,,,,,,S,,3.6,1.5,11.7,0,0.3,0.0,115.0,19.0,0.62,0.5,0.03,0.17,0.1,0.03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"FRUIT CORDIAL, W/ WATER",,,,,,,R,,0.16,0.1,4.0250001,0.51749998,0.0,0.0,1.8173749,1.9475,0.063000001,0.0251,0.004,0.00469,0.098999999,0.01125,0.0,1.78625,0.3955,0.0,0.125,,,0.039999999,3.4575,36.470001,0.39749998,0.146,,5.0124998,42.5,14.77,2.5325
"FRUIT DRINK, BOTTLED, READY-TO-DRINK",,,,,,,S,,0.4,0.0,10.3,0,0.0,0.0,7.0,7.0,0.07,0.0,0.17,0.02,0.3,0.06,0.0,11.0,33.0,0.0,0.0,0.0,0.0,,,,,,,,,,
FRUIT FLAVORED MILK DRINK,,,,,,,S,,3.6,1.5,11.7,0,0.3,0.0,115.0,19.0,0.62,0.5,0.03,0.17,0.1,0.03,0.33,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"FRUIT NECTAR, BOTTLED, READY-TO-DRINK",,,,,,,S,,0.4,0.0,10.3,0,0.0,0.0,7.0,7.0,0.07,0.0,0.17,0.02,0.3,0.06,0.0,11.0,33.0,0.0,0.0,0.0,0.0,,,,,,,,,,
FRUIT SALAD,,,,,,,S,,0.7,0.3,14.3,0,0.3,0.0,12.0,9.0,0.16,0.0,0.09,0.03,0.3,0.09,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"FRUIT SALAD, W/ ADDED SUGAR",,,,,,,R,,0.6552,0.39360002,16.3384,2.4575999,1.6919999,0.0,8.9247999,13.548,0.278,0.61480004,0.021600001,0.046360001,0.3576,0.168,,28.471199,29.527201,85.610405,0.1752,,,0.27359998,13.3968,207.2,2.5120001,4.5504003,,128.43361,104.856,80.548798,9.3576002
"FRUIT SQUASH, W/ WATER",,,,,,,S,,0.1,0.0,9.8,0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
FRUIT-FLAVORED SODA,,,,,,,S,,0.0,0.0,7.2,0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GAL BANIS,100.0,65.0,7.0,13.0,,,S,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAME MEAT, NFS, TEMPERED",,,,,,,R,,13.63659954,10.17633438,3.06932807,1.232617021,0.82603997,50.21606445,86.97073364,25.38654518,1.863908052,2.010153055,0.044300701,0.100981452,4.103133678,0.135737851,1.4294952,6.666642666,6.790707111,15.61944103,0.359263986,,,0.615293026,142.300293,305.9570923,32.78199387,16.67456245,,,,,1.067620039
"GAME MEAT, NFS, TEMPERED, W/ COCONUT MILK",,,,,,,R,,14.36135864,13.70445061,3.984812021,1.237185001,0.501372039,50.21606445,97.18637085,24.85456657,1.959909081,2.211079836,0.057339601,0.1163617,4.391751289,0.142795071,1.4294952,8.648880005,7.246714115,17.97132301,0.339466006,,,0.60552901,142.473877,299.1973877,32.3456192,16.76139641,,,,,0.486526012
"GAME MEAT, NFS, W/ COCONUT MILK",,,,,,,R,,14.1313591,8.744450569,3.434812069,1.237185001,0.501372039,50.21606445,95.58637238,24.85456657,1.799908996,2.141079903,0.055639599,0.1163617,4.319550991,0.139945075,1.4294952,7.368879795,7.022713661,17.97132301,0.339466006,,,0.60552901,142.473877,299.1973877,32.3456192,16.76139641,,,,,0.486526012
GARLIC MURUKKU,100.0,55.0,8.0,25.0,,,S,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GARLIC, W/ COCONUT MILK",,,,,,,R,,3.6,5.3,11.4,2.8,7.7,0.0,16.0,16.9,0.85,0.45,0.06,0.1,0.3,0.15,0.0,37.5,3.7,51.0,0.0,1.1,0.1,,,,,,,,,,
GELATIN,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHEE,,,,,,,S,,0.1,97.6,0.0,,,246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,,,,0.0,0.0,0.0,1.0,0.0,922.0,58.42,25.7,4.56,
GINGER BEER,,,,,,,S,,0.0,0.0,7.2,0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GINGER FINGER BISCUIT,4.0,2.8,0.2,0.5,,,S,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GINGER, FRESH, GRATED",,,,,,,S,,1.8,0.8,8.1,,,,16.0,43.0,0.6,0.3,0.02,0.03,1.0,0.16,0.0,11.0,5.0,0.0,,,,0.2,34.0,415.0,13.0,,0.0,0.2,0.15,0.15,
"GOAT MEAT, TEMPERED",,,,,,,R,,17.3,7.7,1.1,0.56,0.6,73.9,15.0,23.4,1.97,4.03,0.02,0.08,2.3,0.13,0.65914029,3.5,1.5,21.0,0.2,1.8,0.1,,,,,,,,,,
"GOAT MEAT, TEMPERED & BOILED",,,,,,,R,,17.22886086,9.861896515,0.861999035,0.421905994,0.289084017,72.95541382,35.65383911,19.28949738,1.458037972,4.236588001,0.050160401,0.115010597,4.699228764,0.132093951,0.70622176,2.960155964,1.239903927,8.220515251,0.128779992,,,0.893042028,152.8816071,304.2659912,46.90882111,19.72491837,,,,,0.228132993
GOAT MILK,,,,,,,S,,3.1,3.7,4.4,0,0.0,0.0,100.0,13.0,0.12,0.5,0.03,0.04,0.1,0.06,0.07,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GOLD MARIE BISCUIT,4.0,2.8,0.29,0.4,,,S,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOTUKOLA, FRESH OR WATER-COOKED MALLUM W/SCRAPED COCONUT",,,,,,,R,,1.980798006,14.02437878,3.867722034,8.107066154,2.0613029,0.0,76.43804932,50.19051361,1.564435005,0.924907982,0.0059014,0.068745501,0.666813374,0.214816958,,51.90987396,6.930082321,149.6823425,0.700741053,,,0.588793039,57.1664505,433.2954102,49.49518204,25.26671982,,,,,1.228967071
"GOTUKOLA, TEMPERED",,,,,,,R,,2.0037789,9.9439945,7.3673201,7.563437,3.039211,0.0,111.28839,54.393845,1.865361,0.83533096,0.034765601,0.092845395,0.88768947,0.31266686,,71.710175,15.751106,218.85442,0.81905496,,,0.64472902,48.105164,519.81311,48.745014,18.566034,,190.65891,38.330925,296.06119,3.0104041
"GOTUKOLA, TEMPERED MALLUM W/SCRAPED COCONUT",,,,,,,R,,3.0,20.4,8.8,6.9,0.1,0.0,262.0,52.9,8.05,2.1,46.1,51.13,0.1,0.03,0.0,11.7,8.2,802.0,315.9,1.5,0.4,,,,,,,,,,
"GOURD MALLUM, NFS, TEMPERED, W/ SCRAPED COCONUT",,,,,,,R,,1.886078477,12.56531525,3.826502323,4.548282146,2.183493853,0.0,29.99140739,31.63127518,1.885488391,0.451550961,0.031835709,0.038137067,0.326398939,0.096719451,,22.14988518,12.78101158,32.27933502,0.1689246,,,0.410791755,50.29548645,247.2617493,13.62473869,10.28492641,,,,,0.869563103
GRAPEFRUIT,,,,,,,S,,0.69,0.1,8.41,1.1,,,12.0,9.0,0.06,0.07,0.037,0.02,0.269,0.043,0.0,0.0,33.3,2.0,0.0,,,,,,,,,,,,
"GRAPES,BLACK,SEEDED",,,,,,,S,,0.8,0.3,13.2,1.4,0.0,0.0,11.0,7.5,0.22,0.05,0.03,0.03,0.1,0.11,0.0,8.7,18.3,0.0,0.1,1.5,0.7,,,,,,,,,,
"GRAPES,FLESH ONLY",,,,,,,S,,0.4,0.1,15.4,,,,13.0,,0.3,0.1,0.05,0.01,0.2,0.1,0.0,2.0,3.0,2.8,,,,,,,,,,,,,
"GRAVY WITHOUT COCONUT MILK, THICK",,,,,,,R,,0.41448301,0.144798,1.911255,0.84060001,0.338357,0.0,8.2229643,6.3989339,0.343409,0.072563998,0.00866565,0.004826,0.10613115,0.023493575,,5.3889136,2.9427712,9.1821604,0.033087999,,,0.063597001,9.5830965,60.7859,1.4825001,0.19735301,,23.033009,46.58815,45.755798,1.03749
"GRAVY WITHOUT COCONUT MILK, THIN",,,,,,,R,,0.238683,0.115198,0.92985499,0.55659997,0.255357,0.0,6.6440639,4.555634,0.29530901,0.046364002,0.00478065,0.003591,0.061291151,0.013138575,,2.6085937,2.1123111,7.6411109,0.027788,,,0.029697001,5.7313962,37.485901,0.84810001,0.152353,,16.451609,41.881149,32.9258,0.42368999
"GRAVY, W/ COCONUT MILK, THICK",,,,,,,R,,3.338927,32.381237,8.4664869,0.40838802,0.25002098,0.0,25.991119,3.3283491,2.4149201,0.98705798,0.0274416,0.00240445,1.0358715,0.051791228,,20.104162,4.8531733,5.1101928,0.024800999,,,0.030550001,5.0113192,32.8755,0.58151001,0.138045,,13.423738,5.0746431,23.7925,0.48095399
"GRAVY, W/ COCONUT MILK, THIN",,,,,,,R,,2.5453432,24.428389,6.484479,0.36795598,0.23740499,0.0,20.416855,3.0708609,1.87353,0.74940801,0.0212164,0.00226005,0.78865868,0.040828224,,15.427805,4.0157208,5.1079431,0.024040999,,,0.025686001,4.4519591,29.6227,0.50642198,0.13120501,,12.494865,4.4664907,22.1661,0.39005798
GREEK YOGURT,150.0,4.0,10.0,5.0,,,S,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREEN BEANS, BOILED",,,,,,,R,,1.8,0.5,2.9,2.9,0.8,0.0,34.0,16.0,1.1,0.2,0.06,0.04,1.0,0.06,0.0,57.0,11.0,55.0,0.2,0.0,0.0,,,,,,,,,,
"GREEN BEANS, BOILED, W/ COCONUT MILK",,,,,,,R,,2.3,7.8,5.2,0.8,1.8,0.0,51.0,26.3,1.44,0.38,0.06,0.06,0.5,0.03,0.0,42.2,4.1,55.0,0.3,0.6,0.1,,,,,,,,,,
"GREEN BEANS, TEMPERED",,,,,,,R,,3.154071093,9.680864334,6.327641964,5.089822769,1.52896595,0.0,91.42945862,52.13354874,1.269519925,0.484685004,0.064717799,0.058737554,0.921622574,0.389871448,,31.30495834,11.72020054,59.94416809,0.124403,,,0.386115998,85.48801422,437.1098022,9.427093506,0.285200983,,,,,2.59847784
"GREEN BEANS, TEMPERED, W/ COCONUT MILK",,,,,,,R,,2.9,19.0,7.2,1.1,3.1,0.0,51.0,27.6,1.52,0.42,0.07,0.07,0.5,0.05,0.0,46.1,4.3,64.0,0.4,0.8,0.0,,,,,,,,,,
"GREEN EGG PLANT, TEMPERED",,,,,,,R,,2.3,14.4,9.2,1.3,1.5,0.0,79.0,35.9,2.1,0.76,0.11,0.15,0.2,0.04,0.0,6.3,9.7,152.0,0.2,1.9,0.1,,,,,,,,,,
"GREEN EGG PLANT, TEMPERED, W/ COCONUT MILK",,,,,,,R,,1.9,14.2,6.9,1.011,1.9,0.0,43.0,21.4,1.34,0.41,0.05,0.06,0.1,0.03,0.0,5.3,4.0,84.0,0.1,1.0,0.0,,,,,,,,,,
